doclength,editsize,editnum,eps,latency,clients,algorithm,time
200,20,80,0.1,0,2,"Automerge",2.199
200,20,80,0.1,0,2,"Sync9",0.28
200,20,80,0.1,0,5,"Automerge",3.108
200,20,80,0.1,0,5,"Sync9",0.333
200,20,80,0.1,0,10,"Automerge",5.994
200,20,80,0.1,0,10,"Sync9",1.095
200,20,80,0.1,2,2,"Automerge",3.826
200,20,80,0.1,2,2,"Sync9",0.505
200,20,80,0.1,2,5,"Automerge",6.39
200,20,80,0.1,2,5,"Sync9",0.419
200,20,80,0.1,2,10,"Automerge",5.551
200,20,80,0.1,2,10,"Sync9",0.794
200,20,80,0.1,4,2,"Automerge",1.639
200,20,80,0.1,4,2,"Sync9",0.228
200,20,80,0.1,4,5,"Automerge",2.913
200,20,80,0.1,4,5,"Sync9",0.816
200,20,80,0.1,4,10,"Automerge",5.223
200,20,80,0.1,4,10,"Sync9",1.113
200,20,80,0.1,6,2,"Automerge",1.668
200,20,80,0.1,6,2,"Sync9",0.235
200,20,80,0.1,6,5,"Automerge",2.966
200,20,80,0.1,6,5,"Sync9",0.739
200,20,80,0.1,6,10,"Automerge",5.105
200,20,80,0.1,6,10,"Sync9",1.737
200,20,80,0.1,8,2,"Automerge",1.741
200,20,80,0.1,8,2,"Sync9",0.246
200,20,80,0.1,8,5,"Automerge",3.178
200,20,80,0.1,8,5,"Sync9",0.755
200,20,80,0.1,8,10,"Automerge",5.133
200,20,80,0.1,8,10,"Sync9",4.532
200,20,80,0.3,0,2,"Automerge",1.658
200,20,80,0.3,0,2,"Sync9",0.191
200,20,80,0.3,0,5,"Automerge",3.322
200,20,80,0.3,0,5,"Sync9",0.295
200,20,80,0.3,0,10,"Automerge",5.594
200,20,80,0.3,0,10,"Sync9",0.577
200,20,80,0.3,2,2,"Automerge",1.55
200,20,80,0.3,2,2,"Sync9",0.194
200,20,80,0.3,2,5,"Automerge",2.884
200,20,80,0.3,2,5,"Sync9",0.621
200,20,80,0.3,2,10,"Automerge",5.099
200,20,80,0.3,2,10,"Sync9",2.4
200,20,80,0.3,4,2,"Automerge",1.72
200,20,80,0.3,4,2,"Sync9",0.225
200,20,80,0.3,4,5,"Automerge",2.923
200,20,80,0.3,4,5,"Sync9",1.114
200,20,80,0.3,4,10,"Automerge",5.195
200,20,80,0.3,4,10,"Sync9",7.156
200,20,80,0.3,6,2,"Automerge",1.625
200,20,80,0.3,6,2,"Sync9",0.495
200,20,80,0.3,6,5,"Automerge",2.791
200,20,80,0.3,6,5,"Sync9",1.96
200,20,80,0.3,6,10,"Automerge",4.815
200,20,80,0.3,6,10,"Sync9",6.257
200,20,80,0.3,8,2,"Automerge",1.875
200,20,80,0.3,8,2,"Sync9",0.292
200,20,80,0.3,8,5,"Automerge",2.833
200,20,80,0.3,8,5,"Sync9",4.092
200,20,80,0.3,8,10,"Automerge",4.988
200,20,80,0.3,8,10,"Sync9",7.406
200,20,80,0.5,0,2,"Automerge",1.702
200,20,80,0.5,0,2,"Sync9",0.208
200,20,80,0.5,0,5,"Automerge",3.179
200,20,80,0.5,0,5,"Sync9",0.285
200,20,80,0.5,0,10,"Automerge",5.447
200,20,80,0.5,0,10,"Sync9",0.774
200,20,80,0.5,2,2,"Automerge",1.697
200,20,80,0.5,2,2,"Sync9",0.249
200,20,80,0.5,2,5,"Automerge",3.238
200,20,80,0.5,2,5,"Sync9",0.79
200,20,80,0.5,2,10,"Automerge",5.857
200,20,80,0.5,2,10,"Sync9",5.336
200,20,80,0.5,4,2,"Automerge",2.08
200,20,80,0.5,4,2,"Sync9",0.295
200,20,80,0.5,4,5,"Automerge",4.338
200,20,80,0.5,4,5,"Sync9",1.447
200,20,80,0.5,4,10,"Automerge",5.11
200,20,80,0.5,4,10,"Sync9",8
200,20,80,0.5,6,2,"Automerge",2.062
200,20,80,0.5,6,2,"Sync9",0.34
200,20,80,0.5,6,5,"Automerge",3.358
200,20,80,0.5,6,5,"Sync9",4.164
200,20,80,0.5,6,10,"Automerge",6.314
200,20,80,0.5,6,10,"Sync9",7.694
200,20,80,0.5,8,2,"Automerge",1.983
200,20,80,0.5,8,2,"Sync9",0.414
200,20,80,0.5,8,5,"Automerge",3.988
200,20,80,0.5,8,5,"Sync9",4.058
200,20,80,0.5,8,10,"Automerge",5.916
200,20,80,0.5,8,10,"Sync9",6.365
200,20,80,0.7,0,2,"Automerge",1.896
200,20,80,0.7,0,2,"Sync9",0.179
200,20,80,0.7,0,5,"Automerge",6.321
200,20,80,0.7,0,5,"Sync9",0.459
