doclength,editsize,editnum,eps,rpe,clients,algorithm,time
100,10,40,0.75,-1,5,"Automerge",0.676
100,10,40,0.75,-1,5,"Sync9",0.283
100,10,40,0.9,-1,5,"Automerge",0.67
100,10,40,0.9,-1,5,"Sync9",0.402
100,10,40,0.1,-1,7,"Automerge",1.005
100,10,40,0.1,-1,7,"Sync9",0.18
100,10,40,0.25,-1,7,"Automerge",0.922
100,10,40,0.25,-1,7,"Sync9",0.263
100,10,40,0.5,-1,7,"Automerge",0.879
100,10,40,0.5,-1,7,"Sync9",0.476
100,10,40,0.75,-1,7,"Automerge",0.905
100,10,40,0.75,-1,7,"Sync9",0.537
100,10,40,0.9,-1,7,"Automerge",0.837
100,10,40,0.9,-1,7,"Sync9",0.664
100,10,40,0.1,-1,10,"Automerge",1.307
100,10,40,0.1,-1,10,"Sync9",0.231
100,10,40,0.25,-1,10,"Automerge",1.271
100,10,40,0.25,-1,10,"Sync9",0.702
100,10,40,0.5,-1,10,"Automerge",1.218
100,10,40,0.5,-1,10,"Sync9",0.974
100,10,40,0.75,-1,10,"Automerge",1.229
100,10,40,0.75,-1,10,"Sync9",0.668
100,10,40,0.9,-1,10,"Automerge",1.211
100,10,40,0.9,-1,10,"Sync9",0.801
100,10,80,0.1,-1,2,"Automerge",0.868
100,10,80,0.1,-1,2,"Sync9",0.261
100,10,80,0.25,-1,2,"Automerge",0.782
100,10,80,0.25,-1,2,"Sync9",0.156
100,10,80,0.5,-1,2,"Automerge",0.739
100,10,80,0.5,-1,2,"Sync9",0.167
100,10,80,0.75,-1,2,"Automerge",0.796
100,10,80,0.75,-1,2,"Sync9",0.199
100,10,80,0.9,-1,2,"Automerge",0.709
100,10,80,0.9,-1,2,"Sync9",0.483
100,10,80,0.1,-1,3,"Automerge",1.061
100,10,80,0.1,-1,3,"Sync9",0.232
100,10,80,0.25,-1,3,"Automerge",0.98
100,10,80,0.25,-1,3,"Sync9",0.184
100,10,80,0.5,-1,3,"Automerge",0.973
100,10,80,0.5,-1,3,"Sync9",0.226
100,10,80,0.75,-1,3,"Automerge",0.955
100,10,80,0.75,-1,3,"Sync9",0.443
100,10,80,0.9,-1,3,"Automerge",0.905
100,10,80,0.9,-1,3,"Sync9",0.953
100,10,80,0.1,-1,5,"Automerge",1.457
100,10,80,0.1,-1,5,"Sync9",0.284
100,10,80,0.25,-1,5,"Automerge",1.433
100,10,80,0.25,-1,5,"Sync9",0.257
100,10,80,0.5,-1,5,"Automerge",1.333
100,10,80,0.5,-1,5,"Sync9",0.69
100,10,80,0.75,-1,5,"Automerge",1.392
100,10,80,0.75,-1,5,"Sync9",1.028
100,10,80,0.9,-1,5,"Automerge",1.334
100,10,80,0.9,-1,5,"Sync9",1.756
100,10,80,0.1,-1,7,"Automerge",1.931
100,10,80,0.1,-1,7,"Sync9",0.368
100,10,80,0.25,-1,7,"Automerge",1.864
100,10,80,0.25,-1,7,"Sync9",0.401
100,10,80,0.5,-1,7,"Automerge",1.749
100,10,80,0.5,-1,7,"Sync9",0.973
100,10,80,0.75,-1,7,"Automerge",1.771
100,10,80,0.75,-1,7,"Sync9",2.318
100,10,80,0.9,-1,7,"Automerge",1.679
100,10,80,0.9,-1,7,"Sync9",3.061
100,10,80,0.1,-1,10,"Automerge",2.56
100,10,80,0.1,-1,10,"Sync9",0.566
100,10,80,0.25,-1,10,"Automerge",2.505
100,10,80,0.25,-1,10,"Sync9",0.977
100,10,80,0.5,-1,10,"Automerge",2.339
100,10,80,0.5,-1,10,"Sync9",2.808
100,10,80,0.75,-1,10,"Automerge",2.436
100,10,80,0.75,-1,10,"Sync9",3.988
100,10,80,0.9,-1,10,"Automerge",2.225
100,10,80,0.9,-1,10,"Sync9",3.558
100,10,160,0.1,-1,2,"Automerge",1.675
100,10,160,0.1,-1,2,"Sync9",0.443
100,10,160,0.25,-1,2,"Automerge",1.599
100,10,160,0.25,-1,2,"Sync9",0.323
100,10,160,0.5,-1,2,"Automerge",1.546
100,10,160,0.5,-1,2,"Sync9",0.319
100,10,160,0.75,-1,2,"Automerge",1.521
100,10,160,0.75,-1,2,"Sync9",0.416
100,10,160,0.9,-1,2,"Automerge",1.496
100,10,160,0.9,-1,2,"Sync9",1.824
100,10,160,0.1,-1,3,"Automerge",2.057
100,10,160,0.1,-1,3,"Sync9",0.483
100,10,160,0.25,-1,3,"Automerge",1.975
100,10,160,0.25,-1,3,"Sync9",0.376
100,10,160,0.5,-1,3,"Automerge",1.914
100,10,160,0.5,-1,3,"Sync9",0.477
100,10,160,0.75,-1,3,"Automerge",1.865
100,10,160,0.75,-1,3,"Sync9",0.969
100,10,160,0.9,-1,3,"Automerge",1.904
100,10,160,0.9,-1,3,"Sync9",4.559
100,10,160,0.1,-1,5,"Automerge",2.878
100,10,160,0.1,-1,5,"Sync9",0.57
100,10,160,0.25,-1,5,"Automerge",2.865
100,10,160,0.25,-1,5,"Sync9",0.529
100,10,160,0.5,-1,5,"Automerge",2.773
100,10,160,0.5,-1,5,"Sync9",1.256
100,10,160,0.75,-1,5,"Automerge",2.654
100,10,160,0.75,-1,5,"Sync9",2.023
100,10,160,0.9,-1,5,"Automerge",2.758
100,10,160,0.9,-1,5,"Sync9",5.398
100,10,160,0.1,-1,7,"Automerge",3.801
100,10,160,0.1,-1,7,"Sync9",0.714
100,10,160,0.25,-1,7,"Automerge",3.648
100,10,160,0.25,-1,7,"Sync9",0.846
100,10,160,0.5,-1,7,"Automerge",3.632
100,10,160,0.5,-1,7,"Sync9",2.455
100,10,160,0.75,-1,7,"Automerge",3.525
100,10,160,0.75,-1,7,"Sync9",7.104
